"id","basket_value","date","day","Item_1","Item_2","Item_3","Item_4","Item_5","Item_6","Item_7","Item_8","Item_9","Item_10","Item_11","Item_12","Item_13","Item_14","Item_15","Item_16","Item_17","Item_18","Item_19","Item_20","Item_21","Item_22","Item_23","Item_24","Item_25","Item_26","Item_27","Item_28","Item_29","Item_30","Item_31","Item_32"
7219,1.3,"7/25/2023","Tuesday","grapes","other vegetables","frozen dessert","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7129,3.2,"7/4/2023","Tuesday","pork","citrus fruit","tropical fruit","pip fruit","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4103,8.2,"7/7/2023","Friday","sausage","tropical fruit","whole milk","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4436,12.9,"5/21/2023","Sunday","chicken","tropical fruit","rolls/buns","pastry","bottled water","red/blush wine","chocolate","newspapers","","","","","","","","","","","","","","","","","","","","","","","",""
4979,3.4,"7/5/2023","Wednesday","frankfurter","whole milk","rolls/buns","newspapers","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3146,1.2,"7/27/2023","Thursday","whole milk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8629,3.4,"6/30/2023","Friday","chicken","tropical fruit","other vegetables","shopping bags","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5187,1.7,"5/28/2023","Sunday","soda","liquor (appetizer)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3259,1.7,"5/27/2023","Saturday","frozen meals","soda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8018,10.8,"7/13/2023","Thursday","other vegetables","whole milk","yogurt","whipped/sour cream","meat spreads","instant coffee","soda","","","","","","","","","","","","","","","","","","","","","","","","",""
8276,3.9,"7/1/2023","Saturday","berries","dessert","rolls/buns","soda","white wine","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1830,1.2,"7/26/2023","Wednesday","whole milk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9103,4.1,"5/24/2023","Wednesday","pastry","fruit/vegetable juice","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8982,2.7,"6/5/2023","Monday","frankfurter","whole milk","yogurt","napkins","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7257,3.4,"6/29/2023","Thursday","whole milk","rolls/buns","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7020,1.3,"7/25/2023","Tuesday","other vegetables","brown bread","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4602,8.7,"7/9/2023","Sunday","tropical fruit","yogurt","cream cheese ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3903,10,"7/26/2023","Wednesday","tropical fruit","other vegetables","whole milk","curd","yogurt","frozen vegetables","frozen dessert","rolls/buns","soda","liquor (appetizer)","waffles","candy","seasonal products","candles","","","","","","","","","","","","","","","","","",""
4272,11,"7/28/2023","Friday","other vegetables","yogurt","whipped/sour cream","jam","fruit/vegetable juice","chocolate","dishes","newspapers","","","","","","","","","","","","","","","","","","","","","","","",""
8880,3.1,"6/25/2023","Sunday","specialty chocolate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7587,9,"5/23/2023","Tuesday","sausage","hard cheese","pastry","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2422,1.1,"7/30/2023","Sunday","citrus fruit","shopping bags","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6398,1.6,"5/25/2023","Thursday","beef","root vegetables","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6814,3.1,"6/19/2023","Monday","zwieback","salty snack","popcorn","waffles","chocolate","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4092,8.9,"5/20/2023","Saturday","curd","white bread","pastry","soda","salty snack","popcorn","waffles","chewing gum","chocolate","specialty chocolate","","","","","","","","","","","","","","","","","","","","","",""
3676,14.1,"5/20/2023","Saturday","pork","grapes","berries","other vegetables","whipped/sour cream","frozen dessert","domestic eggs","rolls/buns","pastry","sugar","baking powder","bottled water","dishes","","","","","","","","","","","","","","","","","","",""
419,7.3,"7/9/2023","Sunday","beef","berries","whipped/sour cream","domestic eggs","rolls/buns","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8828,7.4,"7/8/2023","Saturday","pork","onions","whole milk","butter","curd","bottled water","soda","misc. beverages","popcorn","chocolate","napkins","","","","","","","","","","","","","","","","","","","","",""
6944,1.4,"7/22/2023","Saturday","dessert","bottled water","fruit/vegetable juice","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8527,1.2,"7/29/2023","Saturday","whole milk","condensed milk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3306,4.9,"6/24/2023","Saturday","tropical fruit","grapes","onions","other vegetables","yogurt","domestic eggs","oil","pudding powder","pickled vegetables","salty snack","waffles","specialty bar","","","","","","","","","","","","","","","","","","","",""
2264,6.3,"7/25/2023","Tuesday","hamburger meat","whole milk","whipped/sour cream","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6604,1.7,"6/8/2023","Thursday","specialty cheese","soda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2438,2.9,"6/19/2023","Monday","onions","yogurt","flour","sugar","bottled water","fruit/vegetable juice","red/blush wine","hair spray","","","","","","","","","","","","","","","","","","","","","","","",""
1933,20.4,"5/18/2023","Thursday","sausage","ham","meat","pork","tropical fruit","pip fruit","grapes","other vegetables","whole milk","butter","whipped/sour cream","frozen meals","frozen fish","ice cream","domestic eggs","pastry","soda","syrup","detergent","","","","","","","","","","","","",""
7755,1.3,"7/25/2023","Tuesday","other vegetables","canned beer","shopping bags","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7797,4.9,"6/25/2023","Sunday","onions","whole milk","yogurt","rolls/buns","brown bread","fruit/vegetable juice","","","","","","","","","","","","","","","","","","","","","","","","","",""
5111,8.6,"7/9/2023","Sunday","other vegetables","whipped/sour cream","rolls/buns","waffles","hygiene articles","newspapers","","","","","","","","","","","","","","","","","","","","","","","","","",""
9723,3.1,"6/13/2023","Tuesday","UHT-milk","coffee","canned beer","specialty chocolate","candy","","","","","","","","","","","","","","","","","","","","","","","","","","",""
990,7.8,"7/11/2023","Tuesday","pork","whole milk","curd","yogurt","whipped/sour cream","cream cheese ","domestic eggs","white bread","sugar","baking powder","coffee","cocoa drinks","salty snack","waffles","candy","napkins","","","","","","","","","","","","","","","",""
5918,8.9,"5/22/2023","Monday","berries","pastry","sugar","soda","chocolate","make up remover","","","","","","","","","","","","","","","","","","","","","","","","","",""
5719,2.8,"7/5/2023","Wednesday","pork","root vegetables","whole milk","UHT-milk","frozen meals","softener","shopping bags","","","","","","","","","","","","","","","","","","","","","","","","",""
5833,3.6,"6/26/2023","Monday","pork","tropical fruit","yogurt","white bread","fruit/vegetable juice","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1050,3.3,"7/3/2023","Monday","tropical fruit","whole milk","white bread","brown bread","misc. beverages","bottled beer","","","","","","","","","","","","","","","","","","","","","","","","","",""
2599,2.7,"5/25/2023","Thursday","chicken","other vegetables","bottled water","chewing gum","softener","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7359,2.2,"5/20/2023","Saturday","rolls/buns","margarine","canned fish","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8820,1.7,"6/3/2023","Saturday","processed cheese","soda","shopping bags","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
917,15.2,"5/17/2023","Wednesday","ham","beef","grapes","yogurt","whipped/sour cream","domestic eggs","white bread","pastry","bottled water","fruit/vegetable juice","white wine","salty snack","chocolate","newspapers","shopping bags","","","","","","","","","","","","","","","","",""
1575,4.6,"7/3/2023","Monday","yogurt","chocolate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3825,2.2,"6/6/2023","Tuesday","pip fruit","rolls/buns","prosecco","seasonal products","pot plants","shopping bags","","","","","","","","","","","","","","","","","","","","","","","","","",""
533,1.7,"5/27/2023","Saturday","soda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
426,7.1,"5/17/2023","Wednesday","root vegetables","pastry","bottled water","male cosmetics","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4251,2.9,"6/23/2023","Friday","yogurt","bottled water","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5800,1.7,"5/21/2023","Sunday","soda","candy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9137,9.5,"7/20/2023","Thursday","herbs","other vegetables","whipped/sour cream","UHT-milk","domestic eggs","sweet spreads","specialty chocolate","decalcifier","napkins","","","","","","","","","","","","","","","","","","","","","","",""
6584,1.4,"7/22/2023","Saturday","brown bread","meat spreads","bottled water","fruit/vegetable juice","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3985,11.5,"7/17/2023","Monday","frankfurter","chicken","pork","other vegetables","yogurt","whipped/sour cream","soft cheese","rolls/buns","instant coffee","bottled water","napkins","","","","","","","","","","","","","","","","","","","","",""
7187,1.1,"7/31/2023","Monday","citrus fruit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3209,12.4,"7/24/2023","Monday","citrus fruit","tropical fruit","root vegetables","other vegetables","whole milk","whipped/sour cream","curd cheese","frozen vegetables","soups","cat food","chewing gum","","","","","","","","","","","","","","","","","","","","",""
3520,1.7,"5/27/2023","Saturday","curd","UHT-milk","spread cheese","pasta","Instant food products","soda","shopping bags","","","","","","","","","","","","","","","","","","","","","","","","",""
6625,2.7,"5/31/2023","Wednesday","chicken","pork","beef","other vegetables","salt","bottled water","","","","","","","","","","","","","","","","","","","","","","","","","",""
3100,7.3,"5/19/2023","Friday","dessert","yogurt","brown bread","pastry","soda","long life bakery product","cake bar","light bulbs","","","","","","","","","","","","","","","","","","","","","","","",""
9102,3.1,"6/22/2023","Thursday","meat","specialty chocolate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
388,9.2,"7/22/2023","Saturday","sausage","tropical fruit","condensed milk","rolls/buns","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9447,1.2,"7/30/2023","Sunday","nuts/prunes","whole milk","hard cheese","processed cheese","newspapers","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5636,3.4,"6/22/2023","Thursday","whole milk","rolls/buns","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7383,1.2,"7/29/2023","Saturday","whole milk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4931,1.1,"7/30/2023","Sunday","citrus fruit","pip fruit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2090,19.9,"5/18/2023","Thursday","sausage","root vegetables","other vegetables","dessert","yogurt","whipped/sour cream","sliced cheese","domestic eggs","white bread","pastry","bottled water","fruit/vegetable juice","popcorn","","","","","","","","","","","","","","","","","","",""
2248,3,"6/19/2023","Monday","root vegetables","bottled water","bottled beer","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6852,9.8,"5/23/2023","Tuesday","frankfurter","ham","beef","berries","other vegetables","whole milk","yogurt","domestic eggs","pastry","soda","bottled beer","red/blush wine","flower (seeds)","","","","","","","","","","","","","","","","","","",""
5531,2.1,"5/22/2023","Monday","tropical fruit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4706,3.9,"6/29/2023","Thursday","citrus fruit","pip fruit","root vegetables","whole milk","oil","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3055,4.3,"6/19/2023","Monday","whole milk","frozen meals","specialty chocolate","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8639,1.1,"7/31/2023","Monday","turkey","citrus fruit","pip fruit","herbs","butter","frozen vegetables","brown bread","semi-finished bread","","","","","","","","","","","","","","","","","","","","","","","",""
9216,8.6,"7/13/2023","Thursday","ham","other vegetables","curd","whipped/sour cream","soft cheese","rolls/buns","long life bakery product","","","","","","","","","","","","","","","","","","","","","","","","",""
1674,1.4,"7/21/2023","Friday","bottled water","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2243,1.3,"7/23/2023","Sunday","other vegetables","white bread","margarine","canned beer","rum","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2669,2.1,"5/28/2023","Sunday","tropical fruit","candy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5090,8,"7/20/2023","Thursday","root vegetables","herbs","other vegetables","cream cheese ","frozen vegetables","jam","canned fish","coffee","","","","","","","","","","","","","","","","","","","","","","","",""
6173,6.7,"","Wednesday","ham","root vegetables","onions","herbs","cream cheese ","zwieback","pot plants","","","","","","","","","","","","","","","","","","","","","","","","",""
1472,7.4,"7/13/2023","Thursday","citrus fruit","whole milk","butter milk","whipped/sour cream","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8209,2.2,"6/3/2023","Saturday","rolls/buns","bottled beer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9770,1.7,"5/19/2023","Friday","soda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7350,1.5,"5/17/2023","Wednesday","yogurt","newspapers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4492,15.8,"7/8/2023","Saturday","sausage","other vegetables","whole milk","dessert","domestic eggs","rolls/buns","white bread","bottled water","soda","chocolate","detergent","shopping bags","","","","","","","","","","","","","","","","","","","",""
9096,7.5,"7/30/2023","Sunday","citrus fruit","onions","other vegetables","yogurt","beverages","rolls/buns","brown bread","vinegar","bottled water","long life bakery product","","","","","","","","","","","","","","","","","","","","","",""
1717,16.1,"7/6/2023","Thursday","sausage","tropical fruit","pip fruit","other vegetables","whole milk","curd","dessert","yogurt","whipped/sour cream","cream cheese ","brown bread","detergent","","","","","","","","","","","","","","","","","","","",""
9429,7.8,"7/9/2023","Sunday","pip fruit","root vegetables","other vegetables","whole milk","yogurt","rolls/buns","","","","","","","","","","","","","","","","","","","","","","","","","",""
4694,8.8,"7/12/2023","Wednesday","frankfurter","sausage","rolls/buns","soda","liquor","shopping bags","","","","","","","","","","","","","","","","","","","","","","","","","",""
545,1.5,"5/31/2023","Wednesday","yogurt","fruit/vegetable juice","newspapers","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8943,1.2,"7/29/2023","Saturday","frankfurter","whole milk","frozen vegetables","fruit/vegetable juice","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7850,4.7,"6/22/2023","Thursday","other vegetables","whole milk","rolls/buns","long life bakery product","flower (seeds)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1665,1.2,"7/26/2023","Wednesday","whole milk","frozen vegetables","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5398,1.2,"7/28/2023","Friday","whole milk","domestic eggs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2221,1.7,"5/19/2023","Friday","sweet spreads","soda","waffles","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6719,1.4,"7/22/2023","Saturday","pip fruit","bottled water","liquor","napkins","cling film/bags","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4249,7.7,"7/30/2023","Sunday","yogurt","bottled water","soda","bottled beer","chocolate","female sanitary products","","","","","","","","","","","","","","","","","","","","","","","","","",""
4059,4.2,"7/3/2023","Monday","citrus fruit","pip fruit","root vegetables","yogurt","margarine","dishes","","","","","","","","","","","","","","","","","","","","","","","","","",""
6008,2.7,"6/11/2023","Sunday","whole milk","yogurt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9559,1.7,"5/25/2023","Thursday","chicken","frozen meals","margarine","soda","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8318,7.4,"7/14/2023","Friday","frankfurter","hamburger meat","root vegetables","whole milk","yogurt","brown bread","chocolate","","","","","","","","","","","","","","","","","","","","","","","","",""
6835,3.4,"6/20/2023","Tuesday","whole milk","butter","rolls/buns","bottled beer","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9546,11.3,"5/25/2023","Thursday","tropical fruit","yogurt","rolls/buns","pastry","coffee","bottled water","newspapers","","","","","","","","","","","","","","","","","","","","","","","","",""
5467,2.7,"6/3/2023","Saturday","whole milk","yogurt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5216,13.4,"7/19/2023","Wednesday","frankfurter","hamburger meat","tropical fruit","other vegetables","whole milk","yogurt","whipped/sour cream","rolls/buns","kitchen towels","newspapers","","","","","","","","","","","","","","","","","","","","","",""
6467,2.2,"5/28/2023","Sunday","ham","rolls/buns","bottled beer","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1799,4.6,"6/21/2023","Wednesday","yogurt","specialty chocolate","seasonal products","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4546,1.3,"7/24/2023","Monday","chicken","other vegetables","frozen vegetables","canned beer","shopping bags","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8620,8.9,"7/29/2023","Saturday","tropical fruit","dessert","yogurt","UHT-milk","domestic eggs","rolls/buns","brown bread","canned vegetables","meat spreads","cake bar","chocolate","specialty chocolate","","","","","","","","","","","","","","","","","","","",""
1391,3.3,"6/14/2023","Wednesday","citrus fruit","pip fruit","grapes","berries","soft cheese","rolls/buns","oil","shopping bags","","","","","","","","","","","","","","","","","","","","","","","",""
5891,4.9,"6/28/2023","Wednesday","tropical fruit","other vegetables","yogurt","chewing gum","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8473,7.9,"7/16/2023","Sunday","other vegetables","yogurt","whipped/sour cream","waffles","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2211,5.1,"6/19/2023","Monday","beef","whipped/sour cream","napkins","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9781,3.4,"6/30/2023","Friday","meat","whole milk","butter","hard cheese","rolls/buns","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8110,1.7,"5/27/2023","Saturday","chicken","soda","liquor (appetizer)","newspapers","shopping bags","","","","","","","","","","","","","","","","","","","","","","","","","","",""
342,2.2,"6/1/2023","Thursday","frankfurter","rolls/buns","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2962,3.4,"7/5/2023","Wednesday","pip fruit","whole milk","dessert","butter milk","rolls/buns","cereals","","","","","","","","","","","","","","","","","","","","","","","","","",""
9058,2.2,"5/20/2023","Saturday","rolls/buns","photo/film","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4608,1.4,"7/22/2023","Saturday","bottled water","bottled beer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2370,2.2,"5/20/2023","Saturday","rolls/buns","canned beer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4465,1.1,"7/30/2023","Sunday","citrus fruit","curd","semi-finished bread","mustard","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3849,2.5,"5/25/2023","Thursday","other vegetables","whole milk","butter","specialty cheese","frozen vegetables","semi-finished bread","pot plants","","","","","","","","","","","","","","","","","","","","","","","","",""
588,4.8,"6/25/2023","Sunday","pork","tropical fruit","whole milk","curd","yogurt","hard cheese","frozen meals","frozen dessert","domestic eggs","cereals","baking powder","fruit/vegetable juice","soap","","","","","","","","","","","","","","","","","","",""
9121,4.9,"6/13/2023","Tuesday","pip fruit","other vegetables","butter","domestic eggs","rolls/buns","margarine","bottled water","","","","","","","","","","","","","","","","","","","","","","","","",""
2120,2.2,"5/23/2023","Tuesday","rolls/buns","white bread","dish cleaner","shopping bags","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6288,1.3,"7/25/2023","Tuesday","chicken","other vegetables","oil","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3423,4.1,"5/20/2023","Saturday","pastry","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5186,6.4,"7/16/2023","Sunday","sausage","yogurt","cat food","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5320,12.1,"7/22/2023","Saturday","butter","spread cheese","ice cream","rolls/buns","soda","long life bakery product","chocolate","chocolate marshmallow","","","","","","","","","","","","","","","","","","","","","","","",""
6798,8.2,"7/9/2023","Sunday","whipped/sour cream","specialty fat","waffles","specialty chocolate","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2826,6,"7/13/2023","Thursday","beef","root vegetables","other vegetables","margarine","salty snack","waffles","specialty chocolate","kitchen towels","newspapers","","","","","","","","","","","","","","","","","","","","","","",""
2180,4.8,"6/14/2023","Wednesday","pip fruit","soda","cake bar","specialty chocolate","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
962,6.7,"7/14/2023","Friday","tropical fruit","root vegetables","other vegetables","domestic eggs","white bread","brown bread","canned vegetables","soda","fruit/vegetable juice","rum","","","","","","","","","","","","","","","","","","","","","",""
8796,13.9,"7/8/2023","Saturday","sausage","beef","whipped/sour cream","rolls/buns","salt","Instant food products","soda","softener","","","","","","","","","","","","","","","","","","","","","","","",""
3017,2.9,"6/15/2023","Thursday","root vegetables","onions","other vegetables","frozen fruits","canned beer","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2456,3.8,"7/3/2023","Monday","citrus fruit","whole milk","yogurt","softener","hygiene articles","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8687,2.9,"6/25/2023","Sunday","chicken","root vegetables","other vegetables","coffee","chewing gum","hygiene articles","napkins","cling film/bags","kitchen towels","light bulbs","","","","","","","","","","","","","","","","","","","","","",""
9444,1.2,"7/30/2023","Sunday","whole milk","brown bread","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1382,2.3,"5/18/2023","Thursday","citrus fruit","whole milk","soft cheese","canned beer","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2781,11.6,"7/20/2023","Thursday","pork","tropical fruit","root vegetables","herbs","whole milk","butter","domestic eggs","rolls/buns","baking powder","bottled water","rum","salty snack","chocolate","hygiene articles","","","","","","","","","","","","","","","","","",""
3179,7.5,"7/22/2023","Saturday","sausage","packaged fruit/vegetables","whole milk","brown bread","bottled water","newspapers","","","","","","","","","","","","","","","","","","","","","","","","","",""
7458,3.4,"6/17/2023","Saturday","whole milk","rolls/buns","brown bread","oil","sauces","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2585,12.4,"7/13/2023","Thursday","sausage","citrus fruit","other vegetables","hard cheese","cream cheese ","frozen dessert","artif. sweetener","coffee","cling film/bags","newspapers","","","","","","","","","","","","","","","","","","","","","",""
6688,13,"7/10/2023","Monday","turkey","tropical fruit","whole milk","yogurt","beverages","hard cheese","cream cheese ","brown bread","baking powder","dog food","bottled water","soda","fruit/vegetable juice","canned beer","detergent","pot plants","","","","","","","","","","","","","","","",""
6865,2.4,"6/1/2023","Thursday","citrus fruit","pip fruit","other vegetables","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8672,1.5,"6/3/2023","Saturday","yogurt","pet care","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7228,8.3,"7/7/2023","Friday","sausage","whole milk","rolls/buns","coffee","newspapers","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2365,7.6,"7/21/2023","Friday","berries","other vegetables","whole milk","whipped/sour cream","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9783,4.1,"5/25/2023","Thursday","curd","frozen meals","pastry","long life bakery product","waffles","napkins","","","","","","","","","","","","","","","","","","","","","","","","","",""
7570,1.7,"5/29/2023","Monday","soda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8008,5.1,"5/23/2023","Tuesday","ice cream","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5198,6.6,"7/16/2023","Sunday","sausage","pip fruit","curd","soda","canned beer","cake bar","shopping bags","","","","","","","","","","","","","","","","","","","","","","","","",""
1255,7.7,"7/20/2023","Thursday","frankfurter","whole milk","whipped/sour cream","curd cheese","domestic eggs","margarine","baking powder","cat food","bottled water","canned beer","candy","napkins","","","","","","","","","","","","","","","","","","","",""
1352,18.3,"7/6/2023","Thursday","sausage","ham","meat","chicken","tropical fruit","other vegetables","whole milk","butter","yogurt","cream cheese ","frozen vegetables","domestic eggs","rolls/buns","brown bread","semi-finished bread","candy","newspapers","","","","","","","","","","","","","","",""
788,2.2,"5/24/2023","Wednesday","rolls/buns","red/blush wine","newspapers","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9057,7.8,"7/13/2023","Thursday","citrus fruit","beverages","domestic eggs","rolls/buns","bottled water","chewing gum","chocolate marshmallow","","","","","","","","","","","","","","","","","","","","","","","","",""
937,4.9,"7/5/2023","Wednesday","beef","grapes","berries","whole milk","yogurt","rolls/buns","newspapers","pot plants","","","","","","","","","","","","","","","","","","","","","","","",""
3406,1.2,"7/27/2023","Thursday","whole milk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4256,5.6,"5/18/2023","Thursday","other vegetables","whole milk","fruit/vegetable juice","chocolate","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6317,3.1,"6/24/2023","Saturday","bottled water","soda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6693,2.3,"5/24/2023","Wednesday","citrus fruit","whole milk","pot plants","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9448,6.3,"7/22/2023","Saturday","whole milk","cream cheese ","newspapers","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
